Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
P13984	P13984	12	12	12	General transcription factor IIF subunit 2	GTF2F2	1	12	12	12
P13995;P13995-2;B8ZZU9;B9A062	P13995;P13995-2;B8ZZU9;B9A062	11;9;8;7	11;9;8;7	11;9;8;7	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase	MTHFD2	4	11	11	11
P14151;P14151-2	P14151;P14151-2	3;3	3;3	3;3	L-selectin	SELL	2	3	3	3
P14174	P14174	7	7	7	Macrophage migration inhibitory factor	MIF	1	7	7	7
P14317;E7EVW7;P14317-2;F8WDD5;F8WEZ6	P14317;E7EVW7	45;42;14;1;1	45;42;14;1;1	45;42;14;1;1	Hematopoietic lineage cell-specific protein	HCLS1	5	45	45	45
P14324-2;P14324;A0A087X1D8;A0A087WVN4;A0A087WTP2;A0A087X090	P14324-2;P14324;A0A087X1D8;A0A087WVN4	9;9;6;6;3;3	9;9;6;6;3;3	9;9;6;6;3;3	Farnesyl pyrophosphate synthase	FDPS	6	9	9	9
P14618;P14618-3;B4DNK4;H3BTJ2;H3BUW1;H3BT25;H3BU13;P30613-2;P30613;H3BN34;H3BQZ3	P14618;P14618-3;B4DNK4	61;53;49;19;18;16;6;3;3;2;2	61;53;49;19;18;16;6;3;3;2;2	5;5;5;0;0;0;0;0;0;0;0	Pyruvate kinase PKM;Pyruvate kinase	PKM	11	61	61	5
P14618-2;H3BTN5;H3BR70;H3BQ34	P14618-2;H3BTN5;H3BR70;H3BQ34	61;56;36;35	5;5;5;0	5;5;5;0	Pyruvate kinase PKM;Pyruvate kinase	PKM	4	61	5	5
P14625;Q96GW1;A0A1W2PRR1;H0YIV0;Q58FF3;F8W026	P14625	85;22;22;19;16;6	82;19;19;19;16;3	82;19;19;19;16;3	Endoplasmin	HSP90B1	6	85	82	82
P14635;E9PC90;P14635-2;D6RHI0	P14635;E9PC90;P14635-2	3;2;2;1	3;2;2;1	3;2;2;1	G2/mitotic-specific cyclin-B1	CCNB1	4	3	3	3
P14649;F8W1I5	P14649;F8W1I5	7;6	4;3	4;3	Myosin light chain 6B	MYL6B	2	7	4	4
P14678-2;P14678;P14678-3;J3QLE5;P63162;P63162-2;J3KRY3;S4R3P3	P14678-2;P14678;P14678-3;J3QLE5;P63162;P63162-2;J3KRY3;S4R3P3	4;4;4;3;3;3;2;2	4;4;4;3;3;3;2;2	4;4;4;3;3;3;2;2	Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N	SNRPB;SNRPN	8	4	4	4
P14854;K7EQD3	P14854;K7EQD3	2;1	2;1	2;1	Cytochrome c oxidase subunit 6B1	COX6B1	2	2	2	2
P14866;M0QXS5;A0A3B3ITJ4;P14866-2;B4DVF8;M0R1W6;M0QYL7	P14866;M0QXS5;A0A3B3ITJ4;P14866-2	28;20;20;20;4;4;1	28;20;20;20;4;4;1	19;11;11;11;4;4;1	Heterogeneous nuclear ribonucleoprotein L	HNRNPL	7	28	28	19
P14868;P14868-2;C9J7S3;C9JLC1;H7BZ35;H7C278;C9JQM9	P14868;P14868-2	35;30;13;13;13;9;6	35;30;13;13;13;9;6	35;30;13;13;13;9;6	Aspartate--tRNA ligase, cytoplasmic	DARS	7	35	35	35
P14921;P14921-4;P14921-3;P14921-2;P14921-5;P15036;V9GYD6	P14921;P14921-4;P14921-3;P14921-2	7;6;6;4;2;2;1	7;6;6;4;2;2;1	7;6;6;4;2;2;1	Protein C-ets-1	ETS1	7	7	7	7
P15104;A0A2R8YDT1	P15104;A0A2R8YDT1	17;15	17;15	17;15	Glutamine synthetase	GLUL	2	17	17	17
P15170-2;P15170-3;P15170;H3BR35;H3BSV8	P15170-2;P15170-3;P15170;H3BR35	38;38;35;34;10	38;38;35;34;10	17;17;15;14;6	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	GSPT1	5	38	38	17
P15880;H0YEN5;E9PQD7;E9PM36;I3L404;E9PMM9;E9PPT0	P15880;H0YEN5;E9PQD7	29;25;22;14;13;13;9	29;25;22;14;13;13;9	29;25;22;14;13;13;9	40S ribosomal protein S2	RPS2	7	29	29	29
P15923;P15923-3;A0A0A0MRB7;X6REB3;P15923-2;K7ENH8;K7EPS2;K7EKB9;K7ERZ7;K7ELF3;A0A0A0MTS0;K7EMM4	P15923;P15923-3;A0A0A0MRB7;X6REB3;P15923-2	10;10;8;8;8;4;3;3;3;3;1;1	8;8;8;8;8;4;1;1;1;3;1;1	8;8;8;8;8;4;1;1;1;3;1;1	Transcription factor E2-alpha	TCF3	12	10	8	8
P15927;P15927-2;P15927-3;Q5TEJ7;Q5TEJ0	P15927;P15927-2;P15927-3;Q5TEJ7	8;7;7;6;1	8;7;7;6;1	8;7;7;6;1	Replication protein A 32 kDa subunit	RPA2	5	8	8	8
P16104;Q8IUE6	P16104;Q8IUE6	9;7	2;2	0;0	Histone H2AX;Histone H2A type 2-B	H2AFX;HIST2H2AB	2	9	2	0
P16219;E9PE82	P16219;E9PE82	13;10	13;10	13;10	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADS	2	13	13	13
P16298;P16298-4;P16298-3;Q5F2F8;P16298-2;Q5F2G0	P16298;P16298-4;P16298-3;Q5F2F8;P16298-2	13;13;11;10;10;4	13;13;11;10;10;4	8;8;6;5;5;4	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform;Serine/threonine-protein phosphatase	PPP3CB	6	13	13	8
P16401	P16401	24	15	15	Histone H1.5	HIST1H1B	1	24	15	15
P16402	P16402	25	3	3	Histone H1.3	HIST1H1D	1	25	3	3
P16403	P16403	24	3	3	Histone H1.2	HIST1H1C	1	24	3	3
P16455	P16455	4	4	4	Methylated-DNA--protein-cysteine methyltransferase	MGMT	1	4	4	4
P16615-5;P16615-2;P16615-3;P16615;H7C5W9;P16615-4	P16615-5;P16615-2;P16615-3;P16615;H7C5W9;P16615-4	4;4;4;4;3;3	3;3;3;3;2;2	2;2;2;2;2;2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ATP2A2	6	4	3	2
P16949-2;P16949;A2A2D0	P16949-2;P16949;A2A2D0	19;19;14	19;19;14	15;15;10	Stathmin	STMN1	3	19	19	15
P16989;P16989-3;A0A0D9SEI8	P16989;P16989-3	19;17;4	12;10;2	3;3;0	Y-box-binding protein 3	YBX3	3	19	12	3
P17026	P17026	4	4	4	Zinc finger protein 22	ZNF22	1	4	4	4
P17028;K7EQP8;K7EPZ8;K7EPL1;P17028-2	P17028	4;1;1;1;1	4;1;1;1;1	4;1;1;1;1	Zinc finger protein 24	ZNF24	5	4	4	4
P17066;P48741	P17066;P48741	16;9	4;2	4;2	Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7	HSPA6;HSPA7	2	16	4	4
P17096;P17096-3	P17096;P17096-3	2;1	2;1	1;1	High mobility group protein HMG-I/HMG-Y	HMGA1	2	2	2	1
P17096-2	P17096-2	2	1	1	High mobility group protein HMG-I/HMG-Y	HMGA1	1	2	1	1
P17098;K7EQD1	P17098	4;1	4;1	4;1	Zinc finger protein 8	ZNF8	2	4	4	4
P17174;P17174-2	P17174;P17174-2	6;5	6;5	6;5	Aspartate aminotransferase, cytoplasmic	GOT1	2	6	6	6
P17252;J3KRN5;M0R0I9;P05129-2;P05129	P17252;J3KRN5	19;11;2;2;2	19;11;2;2;2	17;11;2;2;2	Protein kinase C alpha type	PRKCA	5	19	19	17
P17542;P17542-2;P17542-3	P17542;P17542-2	3;2;1	3;2;1	3;2;1	T-cell acute lymphocytic leukemia protein 1	TAL1	3	3	3	3
P17544-4;P17544-2;P17544-3;P17544-6;P17544;K7ESA4;K7ELQ4;P17544-5	P17544-4;P17544-2;P17544-3;P17544-6;P17544;K7ESA4;K7ELQ4;P17544-5	4;4;4;4;4;2;2;2	3;3;3;3;3;1;1;1	3;3;3;3;3;1;1;1	Cyclic AMP-dependent transcription factor ATF-7	ATF7	8	4	3	3
P17612;Q15136;K7ERP6;K7ENJ5;P22612	P17612;Q15136	9;5;4;2;2	9;5;4;2;2	2;0;0;2;0	cAMP-dependent protein kinase catalytic subunit alpha	PRKACA;KIN27	5	9	9	2
P17612-2	P17612-2	8	1	1	cAMP-dependent protein kinase catalytic subunit alpha	PRKACA	1	8	1	1
P17706-2;P17706-4;P17706;K7EIY0;K7ENP9;K7EIE9;K7ER87;D3DUJ3;K7EQG9;P17706-3	P17706-2;P17706-4;P17706;K7EIY0;K7ENP9;K7EIE9;K7ER87;D3DUJ3;K7EQG9;P17706-3	2;2;2;1;1;1;1;1;1;1	2;2;2;1;1;1;1;1;1;1	1;1;1;1;1;1;0;1;1;0	Tyrosine-protein phosphatase non-receptor type 2;Protein-tyrosine-phosphatase;Tyrosine-protein phosphatase non-receptor type	PTPN2	10	2	2	1
P17812;A0A3B3IRI2;B4E1E0;A0A3B3IRQ8;A0A3B3ITF6;P17812-2;A0A3B3ITB8;A0A3B3ITH9;A0A3B3ISY3;Q9NRF8	P17812;A0A3B3IRI2;B4E1E0;A0A3B3IRQ8;A0A3B3ITF6;P17812-2;A0A3B3ITB8	38;37;28;26;26;24;21;9;6;2	38;37;28;26;26;24;21;9;6;2	38;37;28;26;26;24;21;9;6;2	CTP synthase 1;CTP synthase	CTPS1	10	38	38	38
P17858;P17858-2;F8WEU2	P17858;P17858-2	21;18;2	19;17;2	18;16;2	ATP-dependent 6-phosphofructokinase, liver type	PFKL	3	21	19	18
P17980;E9PM69;E9PKD5;E9PMD8;E9PLG2	P17980;E9PM69;E9PKD5;E9PMD8	47;40;33;28;14	1;1;0;0;0	1;1;0;0;0	26S protease regulatory subunit 6A	PSMC3	5	47	1	1
P17987;E7ERF2;E7EQR6;F5H282;F5GZ03;F5H136;F5GZI8;F5H676;F5H726;F5GYL4;F5H7Y1	P17987;E7ERF2;E7EQR6;F5H282	63;42;41;38;19;15;14;12;9;8;3	63;42;41;38;19;15;14;12;9;8;3	63;42;41;38;19;15;14;12;9;8;3	T-complex protein 1 subunit alpha	TCP1	11	63	63	63
P18077;C9K025;F8WBS5;F8WB72	P18077	8;3;2;2	8;3;2;2	8;3;2;2	60S ribosomal protein L35a	RPL35A	4	8	8	8
P18124;A8MUD9;C9JIJ5;C9JZ88	P18124;A8MUD9	26;19;7;5	26;19;7;5	26;19;7;5	60S ribosomal protein L7	RPL7	4	26	26	26
P18206-2;P18206;P18206-3;A0A096LPE1	P18206-2;P18206	14;14;2;1	14;14;2;1	14;14;2;1	Vinculin	VCL	4	14	14	14
P18583-7;P18583;P18583-5;P18583-9;P18583-10;P18583-3;P18583-4;P18583-6;P18583-2;H7C1M2;J3QSZ5;H7C2G8;P18583-8	P18583-7;P18583;P18583-5;P18583-9;P18583-10;P18583-3;P18583-4;P18583-6;P18583-2;H7C1M2	13;13;13;13;12;12;12;11;11;9;3;2;2	13;13;13;13;12;12;12;11;11;9;3;2;2	13;13;13;13;12;12;12;11;11;9;3;2;2	Protein SON	SON	13	13	13	13
P18615-4;P18615;P18615-3;A0A0A0MT02;A0A0A0MSN9;A2ABK4;A0A0G2JI50;E9PD43;E7ENC7;E7EWR7	P18615-4;P18615;P18615-3;A0A0A0MT02;A0A0A0MSN9;A2ABK4;A0A0G2JI50;E9PD43	12;12;10;9;9;8;8;8;2;2	12;12;10;9;9;8;8;8;2;2	12;12;10;9;9;8;8;8;2;2	Negative elongation factor E	NELFE	10	12	12	12
P18669;P15259;Q8N0Y7	P18669;P15259	3;2;1	3;2;1	3;2;1	Phosphoglycerate mutase 1;Phosphoglycerate mutase 2	PGAM1;PGAM2	3	3	3	3
P18846;F8VS03;F8VYN3;P18846-2	P18846;F8VS03;F8VYN3	5;3;3;2	5;3;3;2	5;3;3;2	Cyclic AMP-dependent transcription factor ATF-1	ATF1	4	5	5	5
P18858;P18858-3;F5GZ28;M0R0Q7;P18858-2;B4E135;M0QY71;M0R1G7;M0R1S4	P18858;P18858-3;F5GZ28;M0R0Q7;P18858-2	42;39;38;34;34;14;4;4;3	42;39;38;34;34;14;4;4;3	42;39;38;34;34;14;4;4;3	DNA ligase 1;DNA ligase	LIG1	9	42	42	42
P18887;F5H8D7;M0R0D2;M0QYS5;M0QZ96;M0R1U8;M0R2N6	P18887;F5H8D7	13;11;6;5;4;4;1	13;11;6;5;4;4;1	13;11;6;5;4;4;1	DNA repair protein XRCC1	XRCC1	7	13	13	13
P19174-2	P19174-2	47	47	2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	PLCG1	1	47	47	2
P19338;H7BY16;C9JYW2;C9JLB1;C9J1H7;C9JWL1	P19338;H7BY16	62;31;10;10;10;10	62;31;10;10;10;10	62;31;10;10;10;10	Nucleolin	NCL	6	62	62	62
P19367-4;P19367-2;P19367;P19367-3;B1AR62;B1AR63	P19367-4;P19367-2;P19367;P19367-3	10;10;10;10;3;3	8;8;8;8;2;2	8;8;8;8;2;2	Hexokinase-1	HK1	6	10	8	8
P19387;H3BRR2	P19387	9;4	9;4	9;4	DNA-directed RNA polymerase II subunit RPB3	POLR2C	2	9	9	9
P19388;A0A087WWX0;A0A087WVZ9;A0A0A0MQR7;A0A087WVN5;K7EQN2;K7EJ87	P19388;A0A087WWX0;A0A087WVZ9;A0A0A0MQR7	7;6;5;5;3;1;1	7;6;5;5;3;1;1	7;6;5;5;3;1;1	DNA-directed RNA polymerases I, II, and III subunit RPABC1	POLR2E	7	7	7	7
P19474;P19474-2;H0YDP8	P19474;P19474-2	11;8;2	11;8;2	11;8;2	E3 ubiquitin-protein ligase TRIM21	TRIM21	3	11	11	11
P19525-2;P19525;F8WBH4;C9JZT2	P19525-2;P19525	10;10;4;4	10;10;4;4	10;10;4;4	Interferon-induced, double-stranded RNA-activated protein kinase	EIF2AK2	4	10	10	10
P19623;K7EL89;K7EKM4	P19623;K7EL89;K7EKM4	2;1;1	2;1;1	2;1;1	Spermidine synthase	SRM	3	2	2	2
P19784;H3BSA1;H3BNI9;H3BV19	P19784;H3BSA1	16;10;7;6	16;10;7;6	16;10;7;6	Casein kinase II subunit alpha	CSNK2A2	4	16	16	16
P19838;P19838-2;D6RH30;P19838-3;D6RC45;D6RF93	P19838;P19838-2	17;17;8;8;5;5	17;17;8;8;5;5	17;17;8;8;5;5	Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit	NFKB1	6	17	17	17
P20042	P20042	19	19	19	Eukaryotic translation initiation factor 2 subunit 2	EIF2S2	1	19	19	19
P20073-2;P20073	P20073-2;P20073	3;3	3;3	3;3	Annexin A7	ANXA7	2	3	3	3
P20248	P20248	4	4	4	Cyclin-A2	CCNA2	1	4	4	4
P20290	P20290	26	26	7	Transcription factor BTF3	BTF3	1	26	26	7
P20290-2;D6RDG3;H0Y9Y1	P20290-2;D6RDG3	21;12;5	2;2;0	2;2;0	Transcription factor BTF3	BTF3	3	21	2	2
P20340-2;P20340;P20340-4;F5H3K7;C9JU14;J3KR73;P20340-3;Q9NRW1-2;C9JB90;F5GX61;Q14964	P20340-2;P20340;P20340-4	14;14;12;5;5;5;5;5;2;2;2	14;14;12;5;5;5;5;5;2;2;2	6;6;5;4;0;0;4;0;0;1;0	Ras-related protein Rab-6A	RAB6A	11	14	14	6
P20618	P20618	22	22	22	Proteasome subunit beta type-1	PSMB1	1	22	22	22
P20645;H0YGT2;F5GX30;H0YGE9;H0YF90	P20645;H0YGT2;F5GX30	3;2;2;1;1	3;2;2;1;1	3;2;2;1;1	Cation-dependent mannose-6-phosphate receptor	M6PR	5	3	3	3
P20674;H3BRM5;H3BV69;H3BNX8	P20674;H3BRM5;H3BV69;H3BNX8	5;4;4;4	5;4;4;4	5;4;4;4	Cytochrome c oxidase subunit 5A, mitochondrial	COX5A	4	5	5	5
P20700;E9PBF6;A0A0D9SFE5;A0A0D9SFY5	P20700;E9PBF6;A0A0D9SFE5	75;60;51;29	75;60;51;29	67;57;49;27	Lamin-B1	LMNB1	4	75	75	67
P20839;P20839-3;P20839-7;P20839-5;P20839-6;C9J381;P20839-2;P20839-4;A0A3B3IRL5;C9K0R9;C9J029;H7C5T1;H7C511	P20839;P20839-3;P20839-7;P20839-5;P20839-6;C9J381;P20839-2;P20839-4;A0A3B3IRL5	27;27;27;27;27;26;26;26;24;12;5;4;4	25;25;25;25;25;24;24;24;22;10;5;4;4	25;25;25;25;25;24;24;24;22;10;5;4;4	Inosine-5-monophosphate dehydrogenase 1;Inosine-5-monophosphate dehydrogenase	IMPDH1	13	27	25	25
P21281;H0YC04;C9JL73;P15313;E5RGH6;H0YAT8;C9JZ02;C9JNS9	P21281;H0YC04	33;19;9;9;5;4;3;3	33;19;9;9;5;4;3;3	33;19;9;9;5;4;3;3	V-type proton ATPase subunit B, brain isoform	ATP6V1B2	8	33	33	33
P21283;E7EV59	P21283;E7EV59	20;17	20;17	20;17	V-type proton ATPase subunit C 1	ATP6V1C1	2	20	20	20
P21333-2;P21333;F8WE98;H0Y5C6;H7C2E7;H0Y5F3	P21333-2;P21333	179;179;36;12;4;4	170;170;27;12;4;4	4;4;2;0;0;0	Filamin-A	FLNA	6	179	170	4
P21399	P21399	12	12	12	Cytoplasmic aconitate hydratase	ACO1	1	12	12	12
P21796;C9JI87	P21796;C9JI87	10;5	10;5	10;5	Voltage-dependent anion-selective channel protein 1	VDAC1	2	10	10	10
P21912;A0A087WXX8;A0A087WWT1	P21912;A0A087WXX8;A0A087WWT1	4;3;3	4;3;3	4;3;3	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	SDHB	3	4	4	4
P21953;P21953-2	P21953	5;2	5;2	5;2	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	BCKDHB	2	5	5	5
P22033	P22033	23	23	23	Methylmalonyl-CoA mutase, mitochondrial	MUT	1	23	23	23
P22059;H0YCV6	P22059	19;1	19;1	19;1	Oxysterol-binding protein 1	OSBP	2	19	19	19
P22087;M0QXL5;M0R0P1;M0R299;M0R2Q4;M0R2U2;M0R1H0;M0R2B0	P22087;M0QXL5;M0R0P1;M0R299;M0R2Q4;M0R2U2;M0R1H0;M0R2B0	9;8;7;7;7;5;5;5	9;8;7;7;7;5;5;5	8;7;6;6;6;5;5;5	rRNA 2-O-methyltransferase fibrillarin	FBL	8	9	9	8
P22102;P22102-2;F8WD69;C9JBJ1;C9JTV6;C9JZG2;C9JKQ7;A0A140TA71;H7C366	P22102	66;29;23;17;17;11;11;10;6	66;29;23;17;17;11;11;10;6	66;29;23;17;17;11;11;10;6	Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase	GART	9	66	66	66
P22234;E9PBS1;P22234-2;D6RF62	P22234;E9PBS1;P22234-2;D6RF62	57;53;53;37	57;53;53;37	57;53;53;37	Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase	PAICS	4	57	57	57
P22307-8;P22307;E9PLD1;P22307-7;P22307-3;H0YCB0;P22307-6;P22307-2;P22307-4	P22307-8;P22307;E9PLD1;P22307-7;P22307-3	4;4;3;3;2;1;1;1;1	4;4;3;3;2;1;1;1;1	4;4;3;3;2;1;1;1;1	Non-specific lipid-transfer protein	SCP2	9	4	4	4
P22314;Q5JRR6;Q5JRR9;Q5JRS0;Q5JRS2;Q5JRS3	P22314	86;24;22;22;18;16	86;24;22;22;18;16	0;0;0;0;0;0	Ubiquitin-like modifier-activating enzyme 1	UBA1	6	86	86	0
P22314-2	P22314-2	85	1	1	Ubiquitin-like modifier-activating enzyme 1	UBA1	1	85	1	1
Q32Q12;P22392;P22392-2;J3KPD9;E7ERL0;O60361;F6XY72	Q32Q12;P22392;P22392-2;J3KPD9;E7ERL0;O60361	13;13;13;9;7;7;6	13;13;13;9;7;7;6	6;6;6;2;0;4;2	Nucleoside diphosphate kinase;Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase	NME1-NME2;NME2;NME1;NME2P1	7	13	13	6
P22626;A0A087WUI2	P22626;A0A087WUI2	29;15	29;15	2;2	Heterogeneous nuclear ribonucleoproteins A2/B1	HNRNPA2B1	2	29	29	2
P22626-2	P22626-2	28	1	1	Heterogeneous nuclear ribonucleoproteins A2/B1	HNRNPA2B1	1	28	1	1
P22670	P22670	5	5	5	MHC class II regulatory factor RFX1	RFX1	1	5	5	5
P22694;P22694-2;P22694-7;A0A0A0MS54;P22694-9;P22694-6;P22694-5;P22694-4;P22694-3;P22694-10;A0A087WVC4;P22694-8;B1APG0;B1APG1;B1APG3;B1APF9;B1APF8;B1APG2;B1APF7	P22694;P22694-2;P22694-7;A0A0A0MS54;P22694-9;P22694-6;P22694-5;P22694-4;P22694-3;P22694-10;A0A087WVC4;P22694-8;B1APG0;B1APG1;B1APG3;B1APF9;B1APF8;B1APG2;B1APF7	6;5;5;5;5;5;5;5;5;4;4;4;3;3;3;3;3;3;3	2;1;1;1;1;1;1;1;1;1;0;2;1;1;1;1;1;1;1	2;1;1;1;1;1;1;1;1;1;0;2;1;1;1;1;1;1;1	cAMP-dependent protein kinase catalytic subunit beta	PRKACB	19	6	2	2
P22695;H3BRG4;H3BP04;H3BSJ9;A0A087WVZ4;H3BUE4;H3BUI9	P22695;H3BRG4;H3BP04;H3BSJ9	4;3;2;2;1;1;1	4;3;2;2;1;1;1	4;3;2;2;1;1;1	Cytochrome b-c1 complex subunit 2, mitochondrial	UQCRC2	7	4	4	4
P22830;P22830-2;K7ELX4;K7EPN2;K7EJX5;K7EKP7	P22830;P22830-2;K7ELX4	3;3;2;1;1;1	3;3;2;1;1;1	3;3;2;1;1;1	Ferrochelatase, mitochondrial	FECH	6	3	3	3
P23246;P23246-2;H0Y9K7;H0Y9U2	P23246;P23246-2	23;20;8;2	21;18;8;2	21;18;8;2	Splicing factor, proline- and glutamine-rich	SFPQ	4	23	21	21
P23258;Q9NRH3;K7EIS0;K7EKE5	P23258;Q9NRH3	11;9;5;3	11;9;5;3	11;9;5;3	Tubulin gamma-1 chain;Tubulin gamma-2 chain	TUBG1;TUBG2	4	11	11	11
P23284	P23284	12	12	12	Peptidyl-prolyl cis-trans isomerase B	PPIB	1	12	12	12
P23368;A0A1W2PQY8;A0A1W2PPH1;A0A1W2PQT3;A0A1W2PQF8;P23368-2;A0A1W2PR68;A0A1W2PQH3;A0A1W2PQ37;A0A1W2PQH4;A0A1W2PRY9;A0A1W2PRS2;A0A1W2PRH1;A0A1W2PPY2;Q6TCH8;Q16798-2;E9PNN2	P23368;A0A1W2PQY8;A0A1W2PPH1;A0A1W2PQT3;A0A1W2PQF8;P23368-2;A0A1W2PR68;A0A1W2PQH3;A0A1W2PQ37	27;26;26;26;24;24;24;23;20;11;11;11;6;3;2;2;1	27;26;26;26;24;24;24;23;20;11;11;11;6;3;2;2;1	25;24;24;24;22;22;23;21;18;10;10;10;6;2;0;0;0	NAD-dependent malic enzyme, mitochondrial	ME2	17	27	27	25
P23381;P23381-2;G3V277;G3V227;G3V3P2;G3V3Y5;G3V3H8;H0YJP3;G3V2Y7;G3V3X0;G3V456;G3V5U1;G3V423;G3V3S7;G3V5W1;G3V4N8;G3V4C7;G3V2C0;G3V339;G3V313;G3V4S4;G3V3R3;G3V2F2;G3V4N0;P78534;G3V4Q0;G3V4A3;G3V5H5	P23381;P23381-2	34;29;15;14;14;11;11;11;11;11;10;10;10;7;7;6;6;6;6;6;6;6;6;3;2;2;2;1	34;29;15;14;14;11;11;11;11;11;10;10;10;7;7;6;6;6;6;6;6;6;6;3;2;2;2;1	34;29;15;14;14;11;11;11;11;11;10;10;10;7;7;6;6;6;6;6;6;6;6;3;2;2;2;1	Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS	WARS	28	34	34	34
P23396;P23396-2;E9PPU1;F2Z2S8;H0YCJ7;H0YF32	P23396;P23396-2;E9PPU1;F2Z2S8;H0YCJ7	34;31;26;22;21;16	34;31;26;22;21;16	4;1;3;4;4;4	40S ribosomal protein S3	RPS3	6	34	34	4
P23443-4;P23443-3;P23443-5;P23443-2;P23443	P23443-4;P23443-3;P23443-5;P23443-2;P23443	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Ribosomal protein S6 kinase beta-1	RPS6KB1	5	2	2	2
P23511-2;P23511	P23511-2;P23511	1;1	1;1	1;1	Nuclear transcription factor Y subunit alpha	NFYA	2	1	1	1
P23526;P23526-2	P23526;P23526-2	36;30	36;30	36;30	Adenosylhomocysteinase	AHCY	2	36	36	36
P23527;P33778	P23527;P33778	21;20	5;5	0;0	Histone H2B type 1-O;Histone H2B type 1-B	HIST1H2BO;HIST1H2BB	2	21	5	0
P23528;E9PP50;E9PK25;G3V1A4;E9PQB7;E9PS23;Q9Y281;Q9Y281-3;E9PLJ3;F8WDN3	P23528;E9PP50;E9PK25;G3V1A4;E9PQB7	14;13;11;10;7;6;6;5;4;1	14;13;11;10;7;6;6;5;4;1	12;11;9;8;5;6;4;3;4;1	Cofilin-1	CFL1	10	14	14	12
P23610	P23610	7	7	7	Factor VIII intron 22 protein	F8A1	1	7	7	7
P23634-7;P23634-6;P23634-5;P23634-4;P23634;P23634-3;P23634-8;P23634-2;P20020-2;P20020-4;Q16720;P20020;Q16720-4;P20020-1;P20020-6;Q16720-2;P20020-5;Q16720-5;Q16720-3;Q16720-6;Q16720-7;Q16720-8;H7BY13;H7BZS8;A0A0U1RQU3;H0YHH6;H0YDG5	P23634-7;P23634-6;P23634-5;P23634-4;P23634;P23634-3;P23634-8;P23634-2	7;7;7;7;7;7;7;7;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2	7;7;7;7;7;7;7;7;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2	4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	Plasma membrane calcium-transporting ATPase 4	ATP2B4	27	7	7	4
P23743;G3V4E1;H0YJH4;H0YJE7	P23743;G3V4E1	10;6;2;1	10;6;2;1	10;6;2;1	Diacylglycerol kinase alpha;Diacylglycerol kinase	DGKA	4	10	10	10
P23921;E9PL69;E9PP77;H0YCY7;E9PRY9;E9PJ62	P23921;E9PL69	15;11;2;2;1;1	15;11;2;2;1;1	15;11;2;2;1;1	Ribonucleoside-diphosphate reductase large subunit	RRM1	6	15	15	15
P24386	P24386	4	4	4	Rab proteins geranylgeranyltransferase component A 1	CHM	1	4	4	4
P24534;C9JZW3;F2Z2G2;F8WF65	P24534	15;7;3;2	15;7;3;2	15;7;3;2	Elongation factor 1-beta	EEF1B2	4	15	15	15
Q5QNZ2;P24539	Q5QNZ2;P24539	2;2	2;2	2;2	ATP synthase F(0) complex subunit B1, mitochondrial	ATP5F1	2	2	2	2
P24752;H0YEL7;P24752-2;E9PRQ6	P24752	37;11;10;8	37;11;10;8	35;9;8;8	Acetyl-CoA acetyltransferase, mitochondrial	ACAT1	4	37	37	35
P24928;P24928-2	P24928	49;19	49;19	49;19	DNA-directed RNA polymerase II subunit RPB1	POLR2A	2	49	49	49
P25098;E9PRV7;P35626;Q8N433	P25098	19;7;7;5	19;7;7;5	19;7;7;5	Beta-adrenergic receptor kinase 1	ADRBK1	4	19	19	19
P25205;P25205-2;J3KQ69;Q7Z6P5	P25205;P25205-2;J3KQ69	60;58;52;15	60;58;52;15	60;58;52;15	DNA replication licensing factor MCM3	MCM3	4	60	60	60
P25398	P25398	19	19	19	40S ribosomal protein S12	RPS12	1	19	19	19
