Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
P49790-2;P49790;P49790-3	P49790-2;P49790;P49790-3	1;1;1	1;1;1	1;1;1	Nuclear pore complex protein Nup153	NUP153	3	1	1	1
P49792;J3KQ37;A0A1W2PNU4;Q99666;O14715	P49792	12;2;2;2;2	12;2;2;2;2	9;0;0;0;0	E3 SUMO-protein ligase RanBP2	RANBP2	5	12	12	9
P49840;A8MT37;M0QYV0	P49840;A8MT37	8;7;3	8;7;3	8;7;3	Glycogen synthase kinase-3 alpha	GSK3A	3	8	8	8
P49902;P49902-2;Q5JUV6;Q5JUV4;Q5JUV3;S4R3E7;S4R3A6;H0YHR8	P49902;P49902-2	9;8;4;3;2;1;1;1	9;8;4;3;2;1;1;1	9;8;4;3;2;1;1;1	Cytosolic purine 5-nucleotidase	NT5C2	8	9	9	9
P49903;P49903-2;P49903-4;P49903-3;Q5T5U6;Q5T5U7	P49903;P49903-2;P49903-4;P49903-3;Q5T5U6	14;11;11;10;8;4	14;11;11;10;8;4	14;11;11;10;8;4	Selenide, water dikinase 1	SEPHS1	6	14	14	14
P49915;P49915-2	P49915;P49915-2	48;42	48;42	48;42	GMP synthase [glutamine-hydrolyzing]	GMPS	2	48	48	48
P49916-3;P49916;P49916-4;P49916-2;K7ERZ5;K7EQB6;K7ENR9	P49916-3;P49916;P49916-4;P49916-2;K7ERZ5	12;12;11;11;7;4;2	12;12;11;11;7;4;2	12;12;11;11;7;4;2	DNA ligase 3	LIG3	7	12	12	12
P50053-2;C9JDL1;P50053	P50053-2;C9JDL1;P50053	4;3;2	4;3;2	4;3;2	Ketohexokinase	KHK	3	4	4	4
P50148;B1AM21	P50148	5;2	3;2	3;2	Guanine nucleotide-binding protein G(q) subunit alpha	GNAQ	2	5	3	3
P50213;H0YL72;P50213-2;H0YLI6;H0YMU3;H0YKD0;H0YNF5;H0YM46;H0YM64	P50213;H0YL72;P50213-2;H0YLI6;H0YMU3	16;13;13;8;8;7;6;4;3	16;13;13;8;8;7;6;4;3	16;13;13;8;8;7;6;4;3	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	IDH3A	9	16	16	16
P50219-2;P50219	P50219-2;P50219	1;1	1;1	1;1	Motor neuron and pancreas homeobox protein 1	MNX1	2	1	1	1
P50336;A0A1W2PRF9;H0YFP3;A0A1W2PQM0;F5H825;H0YFE1;F5GZT7;A0A1W2PPA5	P50336	7;3;3;1;1;1;1;1	7;3;3;1;1;1;1;1	7;3;3;1;1;1;1;1	Protoporphyrinogen oxidase	PPOX	8	7	7	7
P50395;P50395-2;Q5SX87;Q5SX91;V9GYF8;Q5SX90;Q5SX86;V9GYJ7	P50395;P50395-2	48;43;23;14;13;13;12;11	48;43;23;14;13;13;12;11	37;34;16;7;9;9;8;7	Rab GDP dissociation inhibitor beta	GDI2	8	48	48	37
P50402;Q5HY57;F8WEQ1	P50402;Q5HY57	11;7;1	11;7;1	11;7;1	Emerin	EMD	3	11	11	11
P50416;P50416-2	P50416;P50416-2	4;3	4;3	4;3	Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A	2	4	4	4
P50454;E9PPV6;E9PR70;E9PKH2;E9PK86;E9PMI5;E9PNX1;E9PJH8;E9PIG2;E9PRS3;E9PQ34;E9PLA6;H0YEP8	P50454;E9PPV6;E9PR70;E9PKH2;E9PK86;E9PMI5	23;17;16;12;12;12;9;6;6;6;5;3;2	23;17;16;12;12;12;9;6;6;6;5;3;2	23;17;16;12;12;12;9;6;6;6;5;3;2	Serpin H1	SERPINH1	13	23	23	23
P50502;Q3KNR6;Q8NFI4;F6VDH7;H7C3I1;Q8IZP2;F8WAQ7	P50502;Q3KNR6;Q8NFI4;F6VDH7	21;14;13;12;10;9;1	21;14;13;12;10;9;1	21;14;13;12;10;9;1	Hsc70-interacting protein;Putative protein FAM10A5	ST13;ST13P5	7	21	21	21
P50552;K7ENL7;K7EQD0;K7ENR7;K7EM16	P50552	6;2;1;1;1	6;2;1;1;1	6;2;1;1;1	Vasodilator-stimulated phosphoprotein	VASP	5	6	6	6
P50570-2;P50570-5;P50570;K7EPK9;K7ENE7	P50570-2;P50570-5;P50570	39;39;39;1;1	3;3;3;0;0	3;3;3;0;0	Dynamin-2	DNM2	5	39	3	3
P50570-4;P50570-3;K7EMQ3	P50570-4;P50570-3	40;40;14	40;40;14	2;2;2	Dynamin-2	DNM2	3	40	40	2
P50579;P50579-3;G3V1U3;F8VSC4	P50579;P50579-3;G3V1U3	20;19;12;7	20;19;12;7	2;2;2;2	Methionine aminopeptidase 2	METAP2	4	20	20	2
P50583	P50583	8	8	8	Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]	NUDT2	1	8	8	8
P50747;C9JCQ9;A0A0C4DG27;C9JD75	P50747	12;1;1;1	12;1;1;1	12;1;1;1	Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase	HLCS	4	12	12	12
P50748;E7ES84;P50748-2;F5H5V0	P50748	15;7;4;1	15;7;4;1	15;7;4;1	Kinetochore-associated protein 1	KNTC1	4	15	15	15
P50750-2;P50750;X6RE90	P50750-2;P50750	8;8;2	7;7;2	7;7;2	Cyclin-dependent kinase 9	CDK9	3	8	7	7
P50851	P50851	70	70	0	Lipopolysaccharide-responsive and beige-like anchor protein	LRBA	1	70	70	0
P50851-2;E9PEM5;A0A3B3ISK3	P50851-2;E9PEM5	70;66;5	1;1;0	0;0;0	Lipopolysaccharide-responsive and beige-like anchor protein	LRBA	3	70	1	0
P50990;P50990-2;P50990-3;H7C4C8;H7C2U0	P50990;P50990-2;P50990-3	46;45;40;21;8	46;45;40;21;8	46;45;40;21;8	T-complex protein 1 subunit theta	CCT8	5	46	46	46
P50991;P50991-2	P50991;P50991-2	38;35	38;35	38;35	T-complex protein 1 subunit delta	CCT4	2	38	38	38
P50995;P50995-2;H0Y6E1	P50995;P50995-2	16;16;5	16;16;5	16;16;5	Annexin A11	ANXA11	3	16	16	16
P51003;G3XAH6;G3V2A0;P51003-2;A0A0C4DGK1;Q9NRJ5;G3V3I9;H0YJ00;G3V457;H7C3W0;F8WAT4;H0YJL4	P51003;G3XAH6;G3V2A0	30;26;17;12;11;9;7;7;5;2;2;1	30;26;17;12;11;9;7;7;5;2;2;1	28;24;17;10;9;8;5;7;4;0;0;1	Poly(A) polymerase alpha	PAPOLA	12	30	30	28
P51116;I3L1Z2	P51116	13;3	13;3	10;3	Fragile X mental retardation syndrome-related protein 2	FXR2	2	13	13	10
P51148;P51148-2;K7ENY4;K7ERI8;K7ERQ8;F8VVK3;F8VVZ0;F8VWU4;K7EIP6;F8WCY6;F8WD79;F8VPW9;F8VSF8;F8VWZ7	P51148;P51148-2;K7ENY4;K7ERI8;K7ERQ8;F8VVK3	8;8;5;5;5;4;3;2;1;1;1;1;1;1	8;8;5;5;5;4;3;2;1;1;1;1;1;1	5;5;3;2;2;1;0;0;1;0;0;0;0;0	Ras-related protein Rab-5C	RAB5C	14	8	8	5
P51149;C9J8S3;C9J4V0;C9J592;C9J4S4;C9IZZ0;C9J7D1	P51149;C9J8S3;C9J4V0;C9J592;C9J4S4	16;12;10;10;9;7;4	16;12;10;10;9;7;4	16;12;10;10;9;7;4	Ras-related protein Rab-7a	RAB7A	7	16	16	16
P51151;A0A1B0GUI0;Q9NP90	P51151	6;1;1	6;1;1	6;1;1	Ras-related protein Rab-9A	RAB9A	3	6	6	6
P51153;A0A087WWB9	P51153	5;2	3;1	3;1	Ras-related protein Rab-13	RAB13	2	5	3	3
P51397	P51397	2	2	2	Death-associated protein 1	DAP	1	2	2	2
P51398-2;P51398-3;P51398;V9GZ03;V9GYL9;V9GYJ9;V9GZ61;V9GYC9;V9GYW1;V9GY11;V9GYJ3;V9GYF7	P51398-2;P51398-3;P51398;V9GZ03;V9GYL9;V9GYJ9	17;17;17;13;12;9;8;7;7;3;2;1	17;17;17;13;12;9;8;7;7;3;2;1	8;8;8;6;7;3;0;0;0;2;2;0	28S ribosomal protein S29, mitochondrial	DAP3	12	17	17	8
P51452;P51452-2;K7ES89;K7ELG5	P51452;P51452-2;K7ES89	8;7;5;3	8;7;5;3	8;7;5;3	Dual specificity protein phosphatase 3	DUSP3	4	8	8	8
P51553;E7EQB8;P51553-2;E9PF84;G5E9Q7;H7C1W2;H0Y5Q7	P51553;E7EQB8;P51553-2;E9PF84;G5E9Q7	12;10;10;8;8;4;2	12;10;10;8;8;4;2	12;10;10;8;8;4;2	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial	IDH3G	7	12	12	12
P51570-2;P51570;K7ERJ9	P51570-2;P51570	14;14;6	14;14;6	10;10;6	Galactokinase	GALK1	3	14	14	10
P51571;A6NLM8	P51571;A6NLM8	7;5	7;5	7;5	Translocon-associated protein subunit delta	SSR4	2	7	7	7
P51572;P51572-2;A0A2R8Y5M6;C9JSP1;C9JQ75;C9J0M4;C9JMD7;C9JM14	P51572;P51572-2;A0A2R8Y5M6;C9JSP1;C9JQ75;C9J0M4;C9JMD7	10;10;9;6;6;6;5;2	10;10;9;6;6;6;5;2	10;10;9;6;6;6;5;2	B-cell receptor-associated protein 31	BCAP31	8	10	10	10
P51580	P51580	10	10	10	Thiopurine S-methyltransferase	TPMT	1	10	10	10
P51610;P51610-2;H7C1C4	P51610;P51610-2	25;24;8	1;1;1	1;1;1	Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	HCFC1	3	25	1	1
P51617-3;H7C3C1;H7C2I6;H7C224;D3YTB5;P51617-4;P51617-2;P51617	P51617-3;H7C3C1;H7C2I6;H7C224;D3YTB5;P51617-4;P51617-2;P51617	3;2;2;2;2;2;2;2	3;2;2;2;2;2;2;2	3;2;2;2;2;2;2;2	Interleukin-1 receptor-associated kinase 1	IRAK1	8	3	3	3
P51648-2;P51648;J3QRD1;I3L1M4;J3QS00;C9JGJ2;I3L0X1;J3KTG1;J3QKK9;K7EN73;I3L2W1;P48448;P43353-2;P30838;C9JMC5;C9JKT2;J3KTD9;I3L3I9;A8MYB8;P43353;E9PNN6;E9PJV0	P51648-2;P51648;J3QRD1;I3L1M4	14;14;13;7;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	14;14;13;7;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	14;14;13;7;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	Fatty aldehyde dehydrogenase	ALDH3A2	22	14	14	14
P51649-2;P51649;C9J8Q5	P51649-2;P51649;C9J8Q5	15;15;14	15;15;14	15;15;14	Succinate-semialdehyde dehydrogenase, mitochondrial	ALDH5A1	3	15	15	15
P51665;H3BNT7;H3BTM8;H3BQV2	P51665;H3BNT7;H3BTM8	15;9;9;2	15;9;9;2	15;9;9;2	26S proteasome non-ATPase regulatory subunit 7	PSMD7	4	15	15	15
P51687;F8VVW9	P51687	12;2	12;2	12;2	Sulfite oxidase, mitochondrial	SUOX	2	12	12	12
P51688;I3NI22;I3L3T3;I3L2I6;I3L4B7;I3L2L4	P51688;I3NI22	6;3;1;1;1;1	6;3;1;1;1;1	6;3;1;1;1;1	N-sulphoglucosamine sulphohydrolase	SGSH	6	6	6	6
P51692;C9J4I3	P51692;C9J4I3	12;6	12;6	5;3	Signal transducer and activator of transcription 5B	STAT5B	2	12	12	5
P51790-4;P51790;P51790-2;E9PE15;A0A087WU31;A0A0A0MTB7;P51790-5;H0Y8Z8;D6RIX3;D6RDZ6	P51790-4;P51790;P51790-2;E9PE15;A0A087WU31;A0A0A0MTB7;P51790-5;H0Y8Z8	4;4;4;3;3;3;3;2;1;1	4;4;4;3;3;3;3;2;1;1	4;4;4;3;3;3;3;2;1;1	H(+)/Cl(-) exchange transporter 3;Chloride channel protein	CLCN3	10	4	4	4
P51809;P51809-3;P51809-2;E5RH06	P51809;P51809-3;P51809-2	7;6;5;1	7;6;5;1	7;6;5;1	Vesicle-associated membrane protein 7	VAMP7	4	7	7	7
P51812;B4DG22;B1AXG1;B7ZB17;A0A2R8Y603;Q9UK32-2;Q9UK32;B1AXG2;A0A2R8YGB7;A0A2R8Y7S9	P51812;B4DG22;B1AXG1;B7ZB17	22;21;21;21;10;5;5;2;2;2	22;21;21;21;10;5;5;2;2;2	13;12;12;12;6;1;1;0;0;1	Ribosomal protein S6 kinase alpha-3	RPS6KA3	10	22	22	13
P51858;P51858-2;P51858-3	P51858;P51858-2;P51858-3	31;27;27	31;27;27	29;27;27	Hepatoma-derived growth factor	HDGF	3	31	31	29
P51948;H0YJ92;H0YJF2;P51948-2	P51948;H0YJ92;H0YJF2;P51948-2	4;3;3;3	4;3;3;3	4;3;3;3	CDK-activating kinase assembly factor MAT1	MNAT1	4	4	4	4
P51970	P51970	10	10	10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	NDUFA8	1	10	10	10
P51991;H7C1J8	P51991	23;1	22;1	4;0	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	2	23	22	4
P51991-2	P51991-2	21	2	2	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	1	21	2	2
P52209;P52209-2;K7EPF6;K7ELN9;K7EM49;K7EMN2	P52209;P52209-2	33;32;13;12;11;9	33;32;13;12;11;9	33;32;13;12;11;9	6-phosphogluconate dehydrogenase, decarboxylating	PGD	6	33	33	33
P52272-2;P52272;A0A087X0X3;M0R019;M0R2T0;M0R0N3;M0R2I7;M0QYQ7;M0R0Y6;M0QYL3;M0QY96	P52272-2;P52272;A0A087X0X3;M0R019	29;29;28;15;12;11;8;8;5;4;4	29;29;28;15;12;11;8;8;5;4;4	17;17;16;11;10;8;3;6;5;1;3	Heterogeneous nuclear ribonucleoprotein M	HNRNPM	11	29	29	17
P52292;J3QLL0;J3KS65	P52292	25;9;9	25;9;9	25;9;9	Importin subunit alpha-1	KPNA2	3	25	25	25
P52294;C9JYI4;C9J352;C9JWD9;F2Z3G4;C9J4U1	P52294;C9JYI4	17;9;4;4;4;4	11;6;4;4;4;4	11;6;4;4;4;4	Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed	KPNA1	6	17	11	11
P52306;P52306-2;H0Y8M2;D6RHH8;D6RB97;D6RHZ7;D6RC12	P52306;P52306-2	23;20;11;5;3;2;1	23;20;11;5;3;2;1	0;0;0;0;0;0;0	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1	7	23	23	0
P52564;K7EIW3;P52564-2;A0A0A0MRF7;K7ELM6	P52564;K7EIW3;P52564-2	5;3;3;2;1	5;3;3;2;1	4;3;2;2;1	Dual specificity mitogen-activated protein kinase kinase 6	MAP2K6	5	5	5	4
P52565;J3KTF8;J3QQX2;J3KRE2;J3KRY1;P52565-2;J3KS60	P52565;J3KTF8;J3QQX2;J3KRE2	13;10;10;9;6;6;4	13;10;10;9;6;6;4	13;10;10;9;6;6;4	Rho GDP-dissociation inhibitor 1	ARHGDIA	7	13	13	13
P52594-2;P52594-3;P52594;P52594-4;B8ZZY2;C9J2I0	P52594-2;P52594-3;P52594;P52594-4;B8ZZY2;C9J2I0	9;9;9;9;6;5	9;9;9;9;6;5	9;9;9;9;6;5	Arf-GAP domain and FG repeat-containing protein 1	AGFG1	6	9	9	9
P52597;A0A1B0GW42	P52597	15;4	13;4	13;4	Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed	HNRNPF	2	15	13	13
P52630;P52630-4;B4DLC8	P52630;P52630-4;B4DLC8	2;2;1	2;2;1	2;2;1	Signal transducer and activator of transcription 2	STAT2	3	2	2	2
P52655;J3KNC0;P52655-2	P52655;J3KNC0;P52655-2	2;1;1	2;1;1	2;1;1	Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA alpha chain;Transcription initiation factor IIA beta chain	GTF2A1	3	2	2	2
P52657;A8MYR4;A0A0B4J1Z5	P52657;A8MYR4;A0A0B4J1Z5	2;1;1	2;1;1	2;1;1	Transcription initiation factor IIA subunit 2	GTF2A2	3	2	2	2
P52701;P52701-3;P52701-4;P52701-2;A0A087WWJ1;A0A087WYT6;F8WAX8;C9J7Y7;C9JH55;C9J8Y8;U3KQ72;F8W7G9	P52701;P52701-3;P52701-4;P52701-2;A0A087WWJ1	53;49;45;42;40;7;5;4;3;3;2;2	53;49;45;42;40;7;5;4;3;3;2;2	53;49;45;42;40;7;5;4;3;3;2;2	DNA mismatch repair protein Msh6	MSH6	12	53	53	53
P52732	P52732	28	28	28	Kinesin-like protein KIF11	KIF11	1	28	28	28
P52735-3;P52735-2;P52735	P52735-3;P52735-2;P52735	6;6;6	6;6;6	6;6;6	Guanine nucleotide exchange factor VAV2	VAV2	3	6	6	6
P52758;H0YBX3;H0YB34	P52758;H0YBX3;H0YB34	5;4;4	5;4;4	5;4;4	Ribonuclease UK114	HRSP12	3	5	5	5
P52788;P52788-2;H7C2R7	P52788;P52788-2	20;17;9	20;17;9	20;17;9	Spermine synthase	SMS	3	20	20	20
P52789	P52789	45	41	2	Hexokinase-2	HK2	1	45	41	2
P52815	P52815	8	1	1	39S ribosomal protein L12, mitochondrial	MRPL12	1	8	1	1
P52888;K7EP46;K7EKB6;K7EL02;P52888-2;K7EMU4	P52888;K7EP46	20;14;6;6;5;4	20;14;6;6;5;4	17;11;6;3;2;2	Thimet oligopeptidase	THOP1	6	20	20	17
P52907	P52907	15	15	13	F-actin-capping protein subunit alpha-1	CAPZA1	1	15	15	13
P53004;C9J1E1	P53004	13;3	13;3	13;3	Biliverdin reductase A	BLVRA	2	13	13	13
P53007;B4DP62	P53007;B4DP62	8;5	8;5	8;5	Tricarboxylate transport protein, mitochondrial	SLC25A1	2	8	8	8
P53367;P53367-3	P53367;P53367-3	14;8	14;8	1;0	Arfaptin-1	ARFIP1	2	14	14	1
P53367-2	P53367-2	14	1	1	Arfaptin-1	ARFIP1	1	14	1	1
P53384-2;P53384;I3L531;I3L3A0;I3L518	P53384-2;P53384	9;9;4;2;1	9;9;4;2;1	9;9;4;2;1	Cytosolic Fe-S cluster assembly factor NUBP1	NUBP1	5	9	9	9
P53396;P53396-2;P53396-3;K7ESG8;K7EIE7	P53396;P53396-2;P53396-3	67;65;49;6;5	67;65;49;6;5	67;65;49;6;5	ATP-citrate synthase	ACLY	5	67	67	67
P53582;H0Y955;H0Y903;H0YAI3	P53582	14;6;3;1	14;6;3;1	14;6;3;1	Methionine aminopeptidase 1	METAP1	4	14	14	14
P53597;H7C233	P53597	9;2	9;2	9;2	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	SUCLG1	2	9	9	9
P53602;H3BP35;H3BRZ1;H3BVC4;H3BQ47	P53602;H3BP35	10;6;1;1;1	10;6;1;1;1	10;6;1;1;1	Diphosphomevalonate decarboxylase	MVD	5	10	10	10
P53611;Q5T4U8	P53611;Q5T4U8	6;4	6;4	6;4	Geranylgeranyl transferase type-2 subunit beta	RABGGTB	2	6	6	6
P53618;E9PP73;E9PP63;E9PKQ1	P53618;E9PP73	53;28;9;9	53;28;9;9	53;28;9;9	Coatomer subunit beta	COPB1	4	53	53	53
P53621;P53621-2;A0A3B3IT15;A0A3B3IS84;A0A3B3IU89;A0A3B3ITV3;A0A3B3ISK1;A0A3B3ITX2;A0A3B3IS23	P53621;P53621-2;A0A3B3IT15;A0A3B3IS84;A0A3B3IU89	70;70;68;67;38;25;18;4;3	70;70;68;67;38;25;18;4;3	11;11;11;8;6;5;5;4;3	Coatomer subunit alpha;Xenin;Proxenin	COPA	9	70	70	11
P53634;H0YCY8;P53634-2;P53634-3	P53634	12;4;1;1	12;4;1;1	12;4;1;1	Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain	CTSC	4	12	12	12
P53675-2;P53675;A0A087WX41;A0A087WV74;A0A087WXH4	P53675-2;P53675;A0A087WX41	22;22;19;3;3	3;3;2;1;1	3;3;2;1;1	Clathrin heavy chain 2	CLTCL1	5	22	3	3
P53677;E5RJ52;E7ER80;P53677-2;H0YAY4;H0YBA0;E5RGF3;E5RI83	P53677;E5RJ52;E7ER80;P53677-2	7;6;4;4;2;2;1;1	5;4;3;3;2;1;1;1	5;4;3;3;2;1;1;1	AP-3 complex subunit mu-2	AP3M2	8	7	5	5
P53701	P53701	13	13	13	Cytochrome c-type heme lyase	HCCS	1	13	13	13
P53794	P53794	3	3	3	Sodium/myo-inositol cotransporter	SLC5A3	1	3	3	3
P53803;E5RGX2	P53803;E5RGX2	2;1	2;1	2;1	DNA-directed RNA polymerases I, II, and III subunit RPABC4	POLR2K	2	2	2	2
P53985;Q5T8R5;Q5T8R3;P53985-2	P53985;Q5T8R5	9;5;3;3	9;5;3;3	9;5;3;3	Monocarboxylate transporter 1	SLC16A1	4	9	9	9
P53990-2;P53990;P53990-4;P53990-5;H3BMU1;H3BUI0;P53990-3;H3BQF7;F5GXM3;J3KR23;H3BRE2;H3BPP6;P53990-6	P53990-2;P53990;P53990-4;P53990-5;H3BMU1;H3BUI0;P53990-3;H3BQF7;F5GXM3;J3KR23	9;9;9;9;8;8;8;7;6;5;4;2;2	9;9;9;9;8;8;8;7;6;5;4;2;2	9;9;9;9;8;8;8;7;6;5;4;2;2	IST1 homolog	IST1	13	9	9	9
P53992;G5EA31;P53992-2;A0A0U1RR49	P53992;G5EA31	27;26;10;2	27;26;10;2	27;26;10;2	Protein transport protein Sec24C	SEC24C	4	27	27	27
P53999;D6RC37;D6R970	P53999	11;2;2	11;2;2	11;2;2	Activated RNA polymerase II transcriptional coactivator p15	SUB1	3	11	11	11
P54098;A0A1B0GTU7;A0A1B0GTQ6;A0A0D9SFM1;H0YD36;A0A1B0GW33;H0YCV2;A0A1B0GVT8;H0YCD2;H0YDF1	P54098;A0A1B0GTU7	10;7;4;3;2;2;2;2;1;1	10;7;4;3;2;2;2;2;1;1	10;7;4;3;2;2;2;2;1;1	DNA polymerase subunit gamma-1	POLG	10	10	10	10
P54105;E9PMI6;J3KN38;E9PJF4;E9PQ83	P54105;E9PMI6;J3KN38;E9PJF4	11;9;9;8;2	11;9;9;8;2	11;9;9;8;2	Methylosome subunit pICln	CLNS1A	5	11	11	11
P54136;P54136-2;E5RJM9;E5RH09;E5RI24	P54136;P54136-2	42;38;6;5;1	42;38;6;5;1	42;38;6;5;1	Arginine--tRNA ligase, cytoplasmic	RARS	5	42	42	42
P54577;A0A0C4DGZ5	P54577;A0A0C4DGZ5	43;31	43;31	43;31	Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed;Tyrosine--tRNA ligase	YARS	2	43	43	43
P54578;P54578-2;A6NJA2;P54578-3;J3QQT6;J3KS55	P54578;P54578-2;A6NJA2;P54578-3	26;25;24;24;1;1	26;25;24;24;1;1	26;25;24;24;1;1	Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase	USP14	6	26	26	26
P54619;P54619-2;P54619-3;F8VYY9;H0YIC9;F8VVA3;F8VZX1;F8VSL2;H0YHF8;F8VPF5;F8VRY2;F8VSH3;Q9UGJ0-2;Q9UGJ0-3;E9PGP6;Q9UGJ0;C9JUG1;F8W046	P54619;P54619-2;P54619-3;F8VYY9;H0YIC9	16;16;15;14;10;7;6;5;5;5;4;4;2;2;2;2;1;1	16;16;15;14;10;7;6;5;5;5;4;4;2;2;2;2;1;1	16;16;15;14;10;7;6;5;5;5;4;4;2;2;2;2;1;1	5-AMP-activated protein kinase subunit gamma-1	PRKAG1	18	16	16	16
P54687-4;P54687;P54687-5;P54687-3;P54687-2;A0A087WYF2;F5H2F2	P54687-4;P54687;P54687-5;P54687-3;P54687-2	12;12;11;10;9;5;3	12;12;11;10;9;5;3	12;12;11;10;9;5;3	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1	7	12	12	12
P54709;C9JA36;P54709-2;C9JXZ1;H7C547;F8WBY4;H7C4L9	P54709;C9JA36;P54709-2	12;7;7;5;2;2;1	12;7;7;5;2;2;1	12;7;7;5;2;2;1	Sodium/potassium-transporting ATPase subunit beta-3	ATP1B3	7	12	12	12
P54725;P54725-2;K7ENJ0;K7ELW1	P54725;P54725-2;K7ENJ0;K7ELW1	15;14;8;8	1;1;0;0	1;1;0;0	UV excision repair protein RAD23 homolog A	RAD23A	4	15	1	1
P54725-3	P54725-3	15	12	1	UV excision repair protein RAD23 homolog A	RAD23A	1	15	12	1
P54727;P54727-2;Q5W0S5;Q5W0S4;H0Y579	P54727;P54727-2	22;12;10;7;5	22;12;10;7;5	19;12;7;5;5	UV excision repair protein RAD23 homolog B	RAD23B	5	22	22	19
Q96L35;P54760;P54753;J3KR66;B1AKC9;E9PG71;A0A0B4J1T8;Q9UF33-2;Q9UF33-3;P54760-4;P54760-2;P29323-2;P29323-3;Q9UF33;P29323	Q96L35;P54760;P54753	4;4;2;1;1;1;1;1;1;1;1;1;1;1;1	4;4;2;1;1;1;1;1;1;1;1;1;1;1;1	3;3;1;0;0;0;0;0;0;1;1;0;0;0;0	Receptor protein-tyrosine kinase;Ephrin type-B receptor 4;Ephrin type-B receptor 3	EPHB4;EPHB3	15	4	4	3
P54802	P54802	11	11	11	Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form	NAGLU	1	11	11	11
P54886;P54886-2	P54886;P54886-2	48;47	48;47	48;47	Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase	ALDH18A1	2	48	48	48
P54920;M0R0Y2;M0R2M1;M0R058;M0R213;M0R027;M0QZM9;M0QZN5;M0R031;A0A087WZQ7;Q9H115-2;Q9H115	P54920;M0R0Y2;M0R2M1	22;16;15;10;6;5;2;2;2;2;2;2	22;16;15;10;6;5;2;2;2;2;2;2	12;10;6;3;4;2;2;2;2;0;0;0	Alpha-soluble NSF attachment protein	NAPA	12	22	22	12
P55010;H0YLZ1;H0YN40;H0YMJ8;H0YM54;H0YK11;H0YK29	P55010;H0YLZ1;H0YN40	19;10;10;7;7;2;1	19;10;10;7;7;2;1	19;10;10;7;7;2;1	Eukaryotic translation initiation factor 5	EIF5	7	19	19	19
P55011;P55011-3;G3XAL9	P55011;P55011-3;G3XAL9	18;18;16	18;18;16	18;18;16	Solute carrier family 12 member 2	SLC12A2	3	18	18	18
P55036;Q5VWC4;P55036-2;A6PVX3;H0Y3Y9;H0Y561	P55036;Q5VWC4;P55036-2;A6PVX3	14;12;10;9;4;1	14;12;10;9;4;1	11;9;7;6;4;1	26S proteasome non-ATPase regulatory subunit 4	PSMD4	6	14	14	11
P55039;A8MZF9;J3QKW7;J3QRI9;J3KRL5;J3QR71;J3QL90;J3QKV7;J3QLF3;J3QQI1	P55039;A8MZF9	19;16;9;7;5;5;4;4;3;2	19;16;9;7;5;5;4;4;3;2	19;16;9;7;5;5;4;4;3;2	Developmentally-regulated GTP-binding protein 2	DRG2	10	19	19	19
P55060;P55060-3;P55060-4;P55060-2	P55060;P55060-3;P55060-4	56;55;51;16	56;55;51;16	56;55;51;16	Exportin-2	CSE1L	4	56	56	56
