Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
P56377;F6SFB5;A6NH01;H7BZG6;H0Y673;P56377-2	P56377;F6SFB5;A6NH01;H7BZG6;H0Y673;P56377-2	4;3;3;2;2;2	3;2;2;1;1;1	3;2;2;1;1;1	AP-1 complex subunit sigma-2	AP1S2	6	4	3	3
Q5VTU8;P56381	Q5VTU8;P56381	3;3	3;3	3;3	ATP synthase subunit epsilon-like protein, mitochondrial;ATP synthase subunit epsilon, mitochondrial	ATP5EP2;ATP5E	2	3	3	3
P56385	P56385	5	5	5	ATP synthase subunit e, mitochondrial	ATP5I	1	5	5	5
P56537;P56537-2;B7ZBH1;A0A0U1RQV5;F8WD20;A0A0B4J1Y7;F8WDS6	P56537	10;4;3;2;1;1;1	10;4;3;2;1;1;1	10;4;3;2;1;1;1	Eukaryotic translation initiation factor 6	EIF6	7	10	10	10
Q5SQP8;P56545;P56545-3;P56545-2;A0A087WYL1	Q5SQP8;P56545;P56545-3;P56545-2	11;11;11;11;3	8;8;8;8;2	8;8;8;8;2	C-terminal-binding protein 2	CTBP2	5	11	8	8
P56589;Q7Z6V3	P56589	6;2	6;2	6;2	Peroxisomal biogenesis factor 3	PEX3	2	6	6	6
P56937-3;P56937-2;P56937;V9GYN3	P56937-3;P56937-2;P56937	3;3;3;1	3;3;3;1	3;3;3;1	3-keto-steroid reductase	HSD17B7	4	3	3	3
P57076;C9J818;H7BZW1;D3DSE6;F8VZ95;C9JX57;H7C2R6;Q9NX33;H7C3D9	P57076;C9J818;H7BZW1;D3DSE6;F8VZ95	17;12;11;10;10;8;7;3;1	17;12;11;10;10;8;7;3;1	17;12;11;10;10;8;7;3;1	UPF0769 protein C21orf59	C21orf59	9	17	17	17
P57081;P57081-2;P57081-3	P57081;P57081-2;P57081-3	4;4;3	4;4;3	4;4;3	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	WDR4	3	4	4	4
P57088;D6RAA6;H0Y8N0;J3KN43;D6RBY2	P57088;D6RAA6	10;7;3;2;2	10;7;3;2;2	10;7;3;2;2	Transmembrane protein 33	TMEM33	5	10	10	10
P57737;P57737-4;P57737-2	P57737;P57737-4;P57737-2	26;25;23	1;1;1	1;1;1	Coronin-7	CORO7	3	26	1	1
P57740;P57740-2;H0YG15;G3V1T4	P57740;P57740-2	13;12;4;1	13;12;4;1	2;1;0;1	Nuclear pore complex protein Nup107	NUP107	4	13	13	2
P57772;C9J8T0;P57772-2	P57772;C9J8T0	3;2;1	3;2;1	3;2;1	Selenocysteine-specific elongation factor	EEFSEC	3	3	3	3
P58004;P58005-3;P58005	P58004	5;1;1	5;1;1	5;1;1	Sestrin-2	SESN2	3	5	5	5
P58107	P58107	101	101	2	Epiplakin	EPPK1	1	101	101	2
P58546;C9JL85	P58546;C9JL85	15;8	15;8	15;8	Myotrophin	MTPN	2	15	15	15
U3KQK0;Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;Q5QNW6-2;P57053;O60814	U3KQK0;Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;Q5QNW6-2;P57053;O60814	9;9;9;9;9;9;9;9;9;8;8	2;2;2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2;2;2	Histone H2B;Histone H2B type 1-L;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type F-S;Histone H2B type 1-K	HIST1H2BN;HIST1H2BL;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK	11	9	2	2
P60059	P60059	1	1	1	Protein transport protein Sec61 subunit gamma	SEC61G	1	1	1	1
P60174-1;P60174;P60174-4;U3KPZ0;U3KQF3;U3KPS5	P60174-1;P60174;P60174-4	26;26;17;12;10;4	26;26;17;12;10;4	26;26;17;12;10;4	Triosephosphate isomerase	TPI1	6	26	26	26
P60228;E5RGA2;H0YBR5;E5RHS5;H0YAW4;E5RII3;E5RIT4;H0YBP5;E5RIP5;E5RJ25	P60228;E5RGA2	31;21;14;11;8;6;6;4;3;3	31;21;14;11;8;6;6;4;3;3	31;21;14;11;8;6;6;4;3;3	Eukaryotic translation initiation factor 3 subunit E	EIF3E	10	31	31	31
P60468;S4R3B5	P60468;S4R3B5	2;1	2;1	2;1	Protein transport protein Sec61 subunit beta	SEC61B	2	2	2	2
P60510;H3BTA2;H3BV22;I3L4X0;H3BPN5;H3BVE3	P60510;H3BTA2;H3BV22	14;12;9;5;1;1	12;10;7;5;1;1	12;10;7;5;1;1	Serine/threonine-protein phosphatase 4 catalytic subunit;Serine/threonine-protein phosphatase	PPP4C	6	14	12	12
P60520;H3BSM5;H3BQ50;H3BU36	P60520;H3BSM5	9;7;4;1	9;7;4;1	8;6;4;1	Gamma-aminobutyric acid receptor-associated protein-like 2	GABARAPL2	4	9	9	8
P60602;P60602-2	P60602;P60602-2	2;1	2;1	2;1	Reactive oxygen species modulator 1	ROMO1	2	2	2	2
P60604-2;P60604	P60604-2;P60604	3;3	3;3	3;3	Ubiquitin-conjugating enzyme E2 G2	UBE2G2	2	3	3	3
P60660;J3KND3;G3V1Y7	P60660;J3KND3;G3V1Y7	11;9;8	1;1;1	1;1;1	Myosin light polypeptide 6	MYL6	3	11	1	1
P60660-2;G8JLA2;F8VZU9;F8W180;F8VXL3	P60660-2;G8JLA2	11;9;5;5;2	11;9;5;5;2	1;1;1;1;1	Myosin light polypeptide 6	MYL6	5	11	11	1
P60709;A0A2R8Y793;E7EVS6;A0A2R8YGF8;G5E9R0;C9JUM1;C9JZR7;P63267-2;C9JTX5;A0A2R8YEA7;A0A2R8YFE2;A5A3E0;P0CG38;P0CG39;Q9BYX7;F8WCH0	P60709;A0A2R8Y793	43;32;17;17;15;14;14;13;12;11;9;9;8;6;4;3	1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0	1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0	Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed	ACTB	16	43	1	1
P60763;J3KSC4;J3QLK0	P60763;J3KSC4;J3QLK0	9;7;7	3;3;3	3;3;3	Ras-related C3 botulinum toxin substrate 3	RAC3	3	9	3	3
P60842;J3KT12;P60842-2;J3QS69;J3KTB5;J3QL43;J3QR64;J3KSZ0;J3QLN6;J3KS25;J3QKZ9;J3KTN0;J3QL52;J3KT04;J3KS93;J3QQP0	P60842;J3KT12;P60842-2;J3QS69;J3KTB5;J3QL43	42;33;33;26;25;25;20;19;17;17;16;12;6;5;5;5	42;33;33;26;25;25;20;19;17;17;16;12;6;5;5;5	28;22;22;16;17;14;13;12;10;11;10;7;3;2;2;3	Eukaryotic initiation factor 4A-I	EIF4A1	16	42	42	28
P60866;P60866-2;E5RJX2;E5RIP1;G3XAN0	P60866;P60866-2;E5RJX2;E5RIP1	8;7;5;4;3	8;7;5;4;3	8;7;5;4;3	40S ribosomal protein S20	RPS20	5	8	8	8
P60900;G3V5Z7;G3V295;P60900-2;G3V3I1;P60900-3;G3V3U4;H0YJC4;G3V4S5;G3V2S7	P60900;G3V5Z7;G3V295;P60900-2;G3V3I1;P60900-3	20;19;18;18;14;11;8;3;1;1	20;19;18;18;14;11;8;3;1;1	20;19;18;18;14;11;8;3;1;1	Proteasome subunit alpha type-6;Proteasome subunit alpha type	PSMA6	10	20	20	20
P60903	P60903	4	4	4	Protein S100-A10	S100A10	1	4	4	4
P60953;P60953-1;Q5JYX0;A0A3B3IRV0;F8WET9;B1AH79;G3V4H1;G3V476;Q9H4E5-2;P17081;Q9H4E5	P60953;P60953-1;Q5JYX0	10;8;7;2;1;1;1;1;1;1;1	10;8;7;2;1;1;1;1;1;1;1	9;7;6;1;0;0;0;0;0;0;0	Cell division control protein 42 homolog	CDC42	11	10	10	9
P60981;P60981-2;F6RFD5	P60981;P60981-2;F6RFD5	22;21;18	18;17;14	18;17;14	Destrin	DSTN	3	22	18	18
P60983;G3V4P8;G3V3X4;M0QYG8;M0R1D2;M0R0C1;M0QYJ8;O60234	P60983;G3V4P8	11;10;2;2;2;2;2;2	11;10;2;2;2;2;2;2	11;10;2;2;2;2;2;2	Glia maturation factor beta	GMFB	8	11	11	11
P61006;P61006-2;H0YLJ8;H0YL94;H0YMN7	P61006;P61006-2	8;5;2;2;2	7;4;1;1;1	5;2;0;0;0	Ras-related protein Rab-8A	RAB8A	5	8	7	5
P61009	P61009	5	5	5	Signal peptidase complex subunit 3	SPCS3	1	5	5	5
P61011;P61011-2;G3V4F7;G3V480;G3V346;A0A0D9SFN7;G3V3L9	P61011;P61011-2;G3V4F7	27;25;24;3;1;1;1	27;25;24;3;1;1;1	27;25;24;3;1;1;1	Signal recognition particle 54 kDa protein	SRP54	7	27	27	27
P61019;P61019-2;E9PKL7;H7C125	P61019;P61019-2;E9PKL7	11;9;8;4	11;9;8;4	5;5;3;3	Ras-related protein Rab-2A	RAB2A	4	11	11	5
P61020;P61020-2;F8VUA5	P61020;P61020-2;F8VUA5	6;4;3	4;2;1	4;2;1	Ras-related protein Rab-5B	RAB5B	3	6	4	4
P61024;Q9BZU3;Q5T179	P61024;Q9BZU3;Q5T179	3;2;2	3;2;2	3;2;2	Cyclin-dependent kinases regulatory subunit 1;Cyclin-dependent kinases regulatory subunit	CKS1B	3	3	3	3
P61026	P61026	11	10	9	Ras-related protein Rab-10	RAB10	1	11	10	9
P61077;P61077-2;D6RA11;D6R9F6;D6R933;D6RGD0;D6R980;D6RIZ3	P61077;P61077-2;D6RA11	5;5;3;2;2;2;2;2	5;5;3;2;2;2;2;2	2;2;2;2;2;2;2;2	Ubiquitin-conjugating enzyme E2 D3	UBE2D3	8	5	5	2
P61081;M0QX69;M0QYI6	P61081	12;4;4	12;4;4	12;4;4	NEDD8-conjugating enzyme Ubc12	UBE2M	3	12	12	12
P61086;D6RDM7;P61086-2;P61086-3;D6RFX1	P61086;D6RDM7;P61086-2;P61086-3	21;14;13;13;1	21;14;13;13;1	21;14;13;13;1	Ubiquitin-conjugating enzyme E2 K	UBE2K	5	21	21	21
P61088;F8VQQ8;F8VSD4;F8VV71;Q5JXB2;F8VZ29	P61088;F8VQQ8;F8VSD4;F8VV71	16;11;9;8;6;5	16;11;9;8;6;5	16;11;9;8;6;5	Ubiquitin-conjugating enzyme E2 N	UBE2N	6	16	16	16
P61106;X6RFL8	P61106;X6RFL8	17;14	17;14	17;14	Ras-related protein Rab-14	RAB14	2	17	17	17
P61158;B4DXW1;F8WDR7;F8WEW2;F8WE84	P61158;B4DXW1	27;24;4;2;2	27;24;4;2;2	23;20;4;2;2	Actin-related protein 3	ACTR3	5	27	27	23
P61160;P61160-2;A0A1B0GWD0;A0A1B0GWH0	P61160;P61160-2	16;14;3;3	16;14;3;3	5;3;3;3	Actin-related protein 2	ACTR2	4	16	16	5
P61163;R4GMT0;A0A1B0GVS3	P61163;R4GMT0;A0A1B0GVS3	19;16;11	19;16;11	10;10;6	Alpha-centractin	ACTR1A	3	19	19	10
P61201;B4DIH5;H0YKU5;H0YM03;H0YMC2	P61201;B4DIH5	27;25;11;8;4	27;25;11;8;4	2;2;2;2;0	COP9 signalosome complex subunit 2	COPS2	5	27	27	2
P61201-2	P61201-2	26	1	1	COP9 signalosome complex subunit 2	COPS2	1	26	1	1
P61204;F5H423;P61204-2;F5H0C7;F5H1V1;F5H6T5;H0YGG7	P61204;F5H423;P61204-2	19;14;12;9;3;3;2	2;2;2;2;2;2;0	2;2;2;2;2;2;0	ADP-ribosylation factor 3	ARF3	7	19	2	2
P61221;D6R9I9;D6RGF4;H0Y990	P61221;D6R9I9	32;21;14;9	32;21;14;9	32;21;14;9	ATP-binding cassette sub-family E member 1	ABCE1	4	32	32	32
P61224;P61224-3;A6NIZ1;F5H7Y6;E7ESV4;P61224-4;F5GX62;F5GZG1;F5H004;B7ZB78;F5H823;P61224-2;F5H6R7;F5GYB5;F5H500;F5H0B7;F5H491;F5GWU8;F5H077;F5H4H0;F5GYH7;F8WBC0	P61224;P61224-3;A6NIZ1;F5H7Y6;E7ESV4;P61224-4;F5GX62;F5GZG1;F5H004;B7ZB78;F5H823;P61224-2;F5H6R7	13;12;11;11;11;10;10;9;9;9;9;8;7;5;5;5;4;4;4;3;3;2	13;12;11;11;11;10;10;9;9;9;9;8;7;5;5;5;4;4;4;3;3;2	5;4;4;5;5;4;4;4;4;4;4;1;3;1;1;1;1;1;1;0;0;0	Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein	RAP1B	22	13	13	5
P61244-2;Q6V3B1;G3V563;G3V5L1;G3V2R5;P61244;G3V302;P61244-3;P61244-4	P61244-2;Q6V3B1;G3V563;G3V5L1;G3V2R5;P61244	3;2;2;2;2;2;1;1;1	3;2;2;2;2;2;1;1;1	3;2;2;2;2;2;1;1;1	Protein max	MAX	9	3	3	3
P61247;D6RAT0;D6RG13;E9PFI5;H0Y9Y4;H0Y8L7;D6RB09;D6R9B6;D6RAS7;D6RED7;D6RI02;D6RGE0	P61247;D6RAT0;D6RG13;E9PFI5;H0Y9Y4;H0Y8L7;D6RB09;D6R9B6	32;27;24;23;22;21;21;17;15;11;8;5	32;27;24;23;22;21;21;17;15;11;8;5	32;27;24;23;22;21;21;17;15;11;8;5	40S ribosomal protein S3a	RPS3A	12	32	32	32
P61254;J3QRI7;J3QQQ9;J3QQV1;J3QRC4;J3KSS0;J3KS10	P61254;J3QRI7;J3QQQ9;J3QQV1;J3QRC4	16;14;14;14;13;7;4	16;14;14;14;13;7;4	5;3;3;3;3;3;0	60S ribosomal protein L26	RPL26	7	16	16	5
P61289;P61289-2;P61289-3;K9J957;K7ENH2;K7ESG5;A0A087WTV2;B3KQ25;K7EPX6;K7EKR3;B7Z8D3;K7EMD0;K7EJF8	P61289;P61289-2;P61289-3;K9J957;K7ENH2;K7ESG5;A0A087WTV2;B3KQ25	19;19;18;17;13;13;12;12;7;7;7;6;1	19;19;18;17;13;13;12;12;7;7;7;6;1	19;19;18;17;13;13;12;12;7;7;7;6;1	Proteasome activator complex subunit 3	PSME3	13	19	19	19
P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738;P61313-2;E7ERA2	P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738	14;11;11;10;7;7;6;3	14;11;11;10;7;7;6;3	14;11;11;10;7;7;6;3	60S ribosomal protein L15;Ribosomal protein L15	RPL15	8	14	14	14
P61353;K7ELC7;K7EQQ9;K7ERY7	P61353;K7ELC7	9;8;1;1	9;8;1;1	9;8;1;1	60S ribosomal protein L27	RPL27	4	9	9	9
P61457	P61457	8	8	8	Pterin-4-alpha-carbinolamine dehydratase	PCBD1	1	8	8	8
P61586;C9JNR4;C9JX21;C9JRM1	P61586;C9JNR4;C9JX21	15;10;10;5	15;10;10;5	5;1;1;1	Transforming protein RhoA	RHOA	4	15	15	5
P61599;A8MZB2;P61599-2	P61599;A8MZB2;P61599-2	7;6;4	7;6;4	7;6;4	N-alpha-acetyltransferase 20	NAA20	3	7	7	7
P61604;B8ZZL8;B8ZZ54	P61604;B8ZZL8	11;10;4	5;4;4	5;4;4	10 kDa heat shock protein, mitochondrial	HSPE1	3	11	5	5
P61758	P61758	14	14	3	Prefoldin subunit 3	VBP1	1	14	14	3
P61769;H0YLF3;F5H6I0	P61769;H0YLF3;F5H6I0	3;2;2	3;2;2	3;2;2	Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3	B2M	3	3	3	3
P61956-2;P61956	P61956-2;P61956	5;5	5;5	4;4	Small ubiquitin-related modifier 2	SUMO2	2	5	5	4
P61960;P61960-2;H0Y614	P61960;P61960-2	3;2;1	3;2;1	3;2;1	Ubiquitin-fold modifier 1	UFM1	3	3	3	3
P61962;A0A087WWI6;P61962-2	P61962;A0A087WWI6	11;6;2	11;6;2	11;6;2	DDB1- and CUL4-associated factor 7	DCAF7	3	11	11	11
P61964;V9GZ59;V9GYQ5	P61964	9;3;2	9;3;2	9;3;2	WD repeat-containing protein 5	WDR5	3	9	9	9
P61968	P61968	1	1	1	LIM domain transcription factor LMO4	LMO4	1	1	1	1
P61970;H3BRV9	P61970;H3BRV9	7;6	7;6	7;6	Nuclear transport factor 2	NUTF2	2	7	7	7
P61978;P61978-2;S4R457;S4R359	P61978;P61978-2	34;34;7;4	34;34;7;4	2;2;0;0	Heterogeneous nuclear ribonucleoprotein K	HNRNPK	4	34	34	2
P61978-3;Q5T6W2	P61978-3;Q5T6W2	33;28	1;1	1;1	Heterogeneous nuclear ribonucleoprotein K	HNRNPK	2	33	1	1
P61981	P61981	19	14	14	14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed	YWHAG	1	19	14	14
P62070;P62070-4;E9PK85;P62070-3;P62070-2;P10301;E9PQK5;E9PQC5	P62070;P62070-4;E9PK85;P62070-3;P62070-2;P10301	4;4;3;3;2;2;1;1	4;4;3;3;2;2;1;1	4;4;3;3;2;2;1;1	Ras-related protein R-Ras2;Ras-related protein R-Ras	RRAS2;RRAS	8	4	4	4
P62072	P62072	7	7	7	Mitochondrial import inner membrane translocase subunit Tim10	TIMM10	1	7	7	7
P62081;A0A2R8Y623;B5MCP9	P62081;A0A2R8Y623;B5MCP9	18;12;11	18;12;11	18;12;11	40S ribosomal protein S7	RPS7	3	18	18	18
P62136;P62136-2;P62136-3;E9PMD7;F5H1L6;F5H037;F8W0V8	P62136;P62136-2;P62136-3;E9PMD7	23;22;18;17;4;4;1	23;22;18;17;4;4;1	6;5;4;5;1;1;0	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase	PPP1CA	7	23	23	6
P62140;E7ETD8;C9J9S3;C9JP48;H0Y3Y6;F8WE71;F8W1A0	P62140;E7ETD8	21;12;9;9;3;2;2	8;2;4;4;0;0;0	8;2;4;4;0;0;0	Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase	PPP1CB	7	21	8	8
P62166	P62166	1	1	1	Neuronal calcium sensor 1	NCS1	1	1	1	1
P62191;P62191-2;G3V4X1	P62191;P62191-2	31;25;3	31;25;3	31;25;3	26S protease regulatory subunit 4	PSMC1	3	31	31	31
P62195;P62195-2;J3QQM1;J3QSA9;J3KRP2;J3QLH6;J3QSE0;J3QRW1;J3QRR3;J3KTQ9	P62195;P62195-2;J3QQM1;J3QSA9;J3KRP2;J3QLH6	33;30;22;20;19;18;16;13;6;3	33;30;22;20;19;18;16;13;6;3	32;29;21;19;18;17;16;12;5;3	26S protease regulatory subunit 8	PSMC5	10	33	33	32
P62241;Q5JR95	P62241;Q5JR95	22;18	22;18	22;18	40S ribosomal protein S8	RPS8	2	22	22	22
P62244;I3L3P7;I3L246;H3BV27;H3BT37;I3L303;H3BVC7	P62244;I3L3P7;I3L246	14;12;9;6;6;6;3	14;12;9;6;6;6;3	6;4;1;1;1;1;3	40S ribosomal protein S15a	RPS15A	7	14	14	6
P62249;M0R210;M0R3H0;M0R1M5;Q6IPX4;M0QX76	P62249;M0R210;M0R3H0;M0R1M5;Q6IPX4	16;14;11;8;8;5	16;14;11;8;8;5	16;14;11;8;8;5	40S ribosomal protein S16	RPS16	6	16	16	16
P62253;I3L0Q0;I3L2Q4;K7EPR7;I3L2H7	P62253	8;3;3;2;2	8;3;3;2;2	8;3;3;2;2	Ubiquitin-conjugating enzyme E2 G1;Ubiquitin-conjugating enzyme E2 G1, N-terminally processed	UBE2G1	5	8	8	8
P62258;P62258-2;B4DJF2;I3L3T1;K7EM20;K7EIT4;I3L0W5	P62258;P62258-2	31;24;14;14;10;9;4	31;24;14;14;10;9;4	28;22;12;12;9;8;3	14-3-3 protein epsilon	YWHAE	7	31	31	28
P62266;D6RD47;D6RDJ2;D6RIX0;D6R9I7	P62266;D6RD47	8;7;2;2;2	8;7;2;2;2	8;7;2;2;2	40S ribosomal protein S23	RPS23	5	8	8	8
P62269;A0A0G2JQH2;Q5GGW2;J3JS69	P62269	22;7;7;7	22;7;7;7	22;7;7;7	40S ribosomal protein S18	RPS18	4	22	22	22
P62273;A0A087WTT6;A0A2R8Y851;P62273-2;A0A2R8Y6P7	P62273;A0A087WTT6;A0A2R8Y851;P62273-2	3;2;2;2;1	3;2;2;2;1	3;2;2;2;1	40S ribosomal protein S29	RPS29	5	3	3	3
P62277;J3KMX5;E9PS50	P62277;J3KMX5	14;10;4	14;10;4	14;10;4	40S ribosomal protein S13	RPS13	3	14	14	14
P62280;M0QZC5;M0R1H6;M0R1H5	P62280;M0QZC5	18;16;8;5	18;16;8;5	18;16;8;5	40S ribosomal protein S11	RPS11	4	18	18	18
P62304;A6NHK2	P62304;A6NHK2	5;3	5;3	5;3	Small nuclear ribonucleoprotein E	SNRPE	2	5	5	5
P62306;A0A0B4J254;F8W0W6	P62306;A0A0B4J254;F8W0W6	8;5;5	8;5;5	8;5;5	Small nuclear ribonucleoprotein F	SNRPF	3	8	8	8
P62310	P62310	3	3	3	U6 snRNA-associated Sm-like protein LSm3	LSM3	1	3	3	3
P62312	P62312	9	9	9	U6 snRNA-associated Sm-like protein LSm6	LSM6	1	9	9	9
P62314;J3QLI9;J3QLR7	P62314;J3QLI9	5;3;1	5;3;1	5;3;1	Small nuclear ribonucleoprotein Sm D1	SNRPD1	3	5	5	5
P62316;P62316-2;K7ERG4;K7EJB5	P62316;P62316-2;K7ERG4	14;10;7;5	14;10;7;5	14;10;7;5	Small nuclear ribonucleoprotein Sm D2	SNRPD2	4	14	14	14
P62318;P62318-2;H3BT13	P62318;P62318-2;H3BT13	6;6;4	6;6;4	6;6;4	Small nuclear ribonucleoprotein Sm D3	SNRPD3	3	6	6	6
P62328	P62328	8	8	8	Thymosin beta-4;Hematopoietic system regulatory peptide	TMSB4X	1	8	8	8
P62330	P62330	8	8	8	ADP-ribosylation factor 6	ARF6	1	8	8	8
P62380;Q7Z6U1;Q7Z6U2;Q7Z6U0;Q7Z6T9	P62380;Q7Z6U1;Q7Z6U2	5;4;4;2;1	5;4;4;2;1	5;4;4;2;1	TATA box-binding protein-like protein 1	TBPL1	5	5	5	5
P62424;Q5T8U2;Q5T8U3	P62424;Q5T8U2;Q5T8U3	23;13;12	23;13;12	23;13;12	60S ribosomal protein L7a	RPL7A	3	23	23	23
P62487;E9PIU7;E9PKH3;H0YEE4	P62487	12;4;4;3	12;4;4;3	12;4;4;3	DNA-directed RNA polymerase II subunit RPB7	POLR2G	4	12	12	12
P62491;H3BSC1;H3BMH2;P62491-2;B4DQU5;H3BN38;P57735	P62491;H3BSC1;H3BMH2;P62491-2;B4DQU5	14;13;11;11;7;1;1	14;13;11;11;7;1;1	3;2;0;0;3;1;0	Ras-related protein Rab-11A	RAB11A	7	14	14	3
P62495;B7Z7P8;P62495-2;I3L492;D6RCB3;D6RJE8	P62495;B7Z7P8;P62495-2	28;24;24;9;5;5	28;24;24;9;5;5	28;24;24;9;5;5	Eukaryotic peptide chain release factor subunit 1	ETF1	6	28	28	28
P62633-2;P62633;P62633-7;P62633-3	P62633-2;P62633;P62633-7;P62633-3	12;12;11;11	12;12;11;11	2;2;2;2	Cellular nucleic acid-binding protein	CNBP	4	12	12	2
P62633-8;P62633-4	P62633-8;P62633-4	12;12	2;2	2;2	Cellular nucleic acid-binding protein	CNBP	2	12	2	2
P62633-5;P62633-6	P62633-5;P62633-6	11;11	1;1	1;1	Cellular nucleic acid-binding protein	CNBP	2	11	1	1
P62699	P62699	3	3	3	Protein yippee-like 5	YPEL5	1	3	3	3
P62701;C9JEH7;P22090;Q8TD47	P62701;C9JEH7;P22090	28;14;14;13	28;14;14;13	28;14;14;13	40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1	RPS4X;RPS4Y1	4	28	28	28
P62745	P62745	4	2	2	Rho-related GTP-binding protein RhoB	RHOB	1	4	2	2
P62750;H7BY10;K7ERT8;A8MUS3;K7EJV9;K7EMA7	P62750;H7BY10;K7ERT8;A8MUS3;K7EJV9	17;15;15;15;14;8	17;15;15;15;14;8	17;15;15;15;14;8	60S ribosomal protein L23a	RPL23A	6	17	17	17
P62753;A2A3R5;A2A3R7	P62753;A2A3R5	18;14;5	18;14;5	18;14;5	40S ribosomal protein S6	RPS6	3	18	18	18
P62805	P62805	11	11	11	Histone H4	HIST1H4A	1	11	11	11
P62820;E7END7;P62820-2;P62820-3;A0A2R8YDI9;G3V196;A0A2R8YFB8;P59190-2;P59190	P62820;E7END7;P62820-2	15;14;14;5;1;1;1;1;1	15;14;14;5;1;1;1;1;1	9;9;9;3;0;0;0;0;0	Ras-related protein Rab-1A	RAB1A	9	15	15	9
P62826;B5MDF5;J3KQE5;F5H018;H0YFC6;B4DV51;A0A087X0W0	P62826;B5MDF5;J3KQE5;F5H018	27;26;25;24;12;12;1	27;26;25;24;12;12;1	27;26;25;24;12;12;1	GTP-binding nuclear protein Ran	RAN	7	27	27	27
P62829;J3KT29;C9JD32;B9ZVP7;J3KTJ3	P62829;J3KT29;C9JD32;B9ZVP7	9;7;6;6;3	9;7;6;6;3	9;7;6;6;3	60S ribosomal protein L23	RPL23	5	9	9	9
P62834;A0A075B6Q0	P62834;A0A075B6Q0	12;8	4;3	4;3	Ras-related protein Rap-1A	RAP1A	2	12	4	4
P62841;K7EQJ5;K7ELC2;K7EM56;A0A0B4J2B4;K7EJ78;S4R417;S4R456	P62841;K7EQJ5;K7ELC2;K7EM56;A0A0B4J2B4;K7EJ78;S4R417;S4R456	8;7;7;6;6;6;6;4	8;7;7;6;6;6;6;4	8;7;7;6;6;6;6;4	40S ribosomal protein S15	RPS15	8	8	8	8
P62851	P62851	10	10	10	40S ribosomal protein S25	RPS25	1	10	10	10
P62854;Q5JNZ5	P62854;Q5JNZ5	4;2	4;2	4;2	40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1	RPS26;RPS26P11	2	4	4	4
P62857	P62857	7	7	7	40S ribosomal protein S28	RPS28	1	7	7	7
P62873;P62873-2;F6UT28;B1AKQ8;F6X3N5;B3KVK2;F5H8J8;F5H100;F5H0S8;E9PCP0;P16520-2;P16520	P62873;P62873-2;F6UT28;B1AKQ8	13;12;8;7;6;6;1;1;1;1;1;1	13;12;8;7;6;6;1;1;1;1;1;1	9;9;5;4;3;5;0;0;0;0;0;0	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	12	13	13	9
P62875	P62875	3	3	3	DNA-directed RNA polymerases I, II, and III subunit RPABC5	POLR2L	1	3	3	3
P62877	P62877	3	3	3	E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed	RBX1	1	3	3	3
P62879;C9JIS1;C9JXA5;C9JZN1;E7EP32;P62879-2;Q9HAV0;C9JD14;H7C5J5	P62879;C9JIS1;C9JXA5;C9JZN1;E7EP32	10;8;8;7;7;4;4;2;1	6;5;5;4;3;3;2;1;1	6;5;5;4;3;3;2;1;1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	GNB2	9	10	6	6
Q59GN2;P62891	Q59GN2;P62891	1;1	1;1	1;1	Putative 60S ribosomal protein L39-like 5;60S ribosomal protein L39	RPL39P5;RPL39	2	1	1	1
P62899;C9JU56;B7Z4E3;B7Z4C8;P62899-3;P62899-2;H7C2W9;B8ZZK4	P62899;C9JU56;B7Z4E3;B7Z4C8;P62899-3;P62899-2;H7C2W9;B8ZZK4	10;9;9;9;9;9;8;6	10;9;9;9;9;9;8;6	10;9;9;9;9;9;8;6	60S ribosomal protein L31	RPL31	8	10	10	10
